SCHEMATRON,CONTEXT,TESTTYPE,TEST,RULETEXT,DIAGNOSTICS
HARVARD,/ead/archdesc/did,assert,.[unitid],Collection level 'did' element must contain a 'unitid' element.,Ref-number: 12
HARVARD,/ead/archdesc/did,assert,.[unittitle],Collection level 'did' element must contain a 'unittitle' element.,Ref-number: 13
HARVARD,/ead/archdesc/did,assert,.[unitdate or unittitle/unitdate],Collection level 'did' element must contain a 'unitdate' element.,Ref-number: 14
HARVARD,/ead/archdesc/did,assert,.[physdesc/extent],Collection level 'did' element must contain 'physdesc' element with 'extent' child.,Ref-number: 16
HARVARD,/ead/archdesc/*[not(local-name(.) = 'did')]//did,assert,count(./unitdate|./unittitle) > 0,"'did' elements must contain a either a 'unitdate' element, a 'unittitle' element or both.",Ref-number: 15
HARVARD,/ead/archdesc/did/unitid,assert,./text()[normalize-space(.)],Collection level 'unitid' element must not be empty.,Ref-number: 12
HARVARD,/ead/archdesc/did/unittitle,assert,./text()[normalize-space(.)],Collection level 'unittitle' element must not be empty.,Ref-number: 13
HARVARD,/ead/archdesc/did/unitdate| /ead/archdesc/did/unittitle/unitdate,assert,./text()[normalize-space(.)],Collection level 'unitdate' element must not be empty.,Ref-number: 14
HARVARD,/ead/archdesc/did/physdesc/extent,assert,./text()[normalize-space(.)],Collection level 'physdesc/extent' element must not be empty.,Ref-number: 16
HARVARD,//table,assert,not(.),'table' element is deprecated and must be removed.,Ref-number: 25
HARVARD,//date,assert,not(.[@startYear or @endYear]),'date' element must not contain 'startYear' or 'endYear' attributes.,Ref-number: 38 Content: Content from ' {local-name(.)} ' element's 'startYear' ( {./@startYear} ) and 'endYear' ( {./@endYear} ) attributes should be combined into a single 'normal' attribute separated by '/' ( {./@startYear} / {./@endYear} )
HARVARD,//unitdate,assert,not(.[@startYear or @endYear]),'unitdate' element must not contain 'startYear' or 'endYear' attributes.,Ref-number: 38 Content: Content from ' {local-name(.)} ' element's 'startYear' ( {./@startYear} ) and 'endYear' ( {./@endYear} ) attributes should be combined into a single 'normal' attribute separated by '/' ( {./@startYear} / {./@endYear} )
